Voltage[V]	Capacitance [F]	Secondary Value	Chuck Temp [C]	Air Temp [C]	Rel. Humidity [%]
1.800000E+1	1.808290E-10	-6.712340E+8	2.000000E+1	2.045000E+1	1.700000E+0
1.820000E+1	1.791280E-10	-5.873970E+8	2.000000E+1	2.045000E+1	1.680000E+0
1.840000E+1	1.775350E-10	-5.544530E+8	2.000000E+1	2.045000E+1	1.680000E+0
1.860000E+1	1.758800E-10	-5.725660E+8	2.000000E+1	2.044000E+1	1.700000E+0
1.880000E+1	1.741190E-10	-6.303360E+8	2.000000E+1	2.045000E+1	1.640000E+0
1.900000E+1	1.723480E-10	-6.176370E+8	2.000000E+1	2.045000E+1	1.680000E+0
1.920000E+1	1.706370E-10	-6.672550E+8	2.000000E+1	2.043000E+1	1.740000E+0
1.940000E+1	1.688030E-10	-5.061220E+8	2.000000E+1	2.045000E+1	1.680000E+0
1.960000E+1	1.670580E-10	-5.054240E+8	2.000000E+1	2.045000E+1	1.620000E+0
1.980000E+1	1.651900E-10	-5.082970E+8	2.000000E+1	2.045000E+1	1.700000E+0
2.000000E+1	1.633590E-10	-6.025690E+8	2.000000E+1	2.047000E+1	1.660000E+0
2.020000E+1	1.615960E-10	-7.900940E+8	2.000000E+1	2.047000E+1	1.660000E+0
2.040000E+1	1.593410E-10	-6.375000E+8	2.000000E+1	2.047000E+1	1.760000E+0
2.060000E+1	1.573800E-10	-5.754150E+8	2.000000E+1	2.045000E+1	1.700000E+0
2.080000E+1	1.552650E-10	-5.085590E+8	2.000000E+1	2.047000E+1	1.720000E+0
2.100000E+1	1.531830E-10	-5.037780E+8	2.000000E+1	2.048000E+1	1.680000E+0
2.120000E+1	1.509470E-10	-5.924210E+8	2.000000E+1	2.047000E+1	1.630000E+0
2.140000E+1	1.485690E-10	-5.809080E+8	2.000000E+1	2.045000E+1	1.700000E+0
2.160000E+1	1.460860E-10	-6.227120E+8	2.000000E+1	2.047000E+1	1.630000E+0
2.180000E+1	1.435400E-10	-5.686900E+8	2.000000E+1	2.047000E+1	1.660000E+0
2.200000E+1	1.406240E-10	-4.898990E+8	2.000000E+1	2.047000E+1	1.680000E+0
2.220000E+1	1.376260E-10	-5.152650E+8	2.000000E+1	2.050000E+1	1.670000E+0
2.240000E+1	1.344040E-10	-5.859810E+8	2.000000E+1	2.047000E+1	1.700000E+0
2.260000E+1	1.307420E-10	-6.001060E+8	2.000000E+1	2.047000E+1	1.700000E+0
2.280000E+1	1.267680E-10	-6.323840E+8	2.000000E+1	2.048000E+1	1.680000E+0
2.300000E+1	1.221960E-10	-5.991430E+8	2.000000E+1	2.048000E+1	1.670000E+0
2.320000E+1	1.166660E-10	-5.143920E+8	2.000000E+1	2.047000E+1	1.680000E+0
2.340000E+1	1.102250E-10	-5.497150E+8	2.000000E+1	2.047000E+1	1.700000E+0
2.360000E+1	1.019900E-10	-5.493740E+8	2.000000E+1	2.047000E+1	1.600000E+0
2.380000E+1	9.159700E-11	-6.378150E+8	2.000000E+1	2.048000E+1	1.630000E+0
2.400000E+1	7.482350E-11	-7.864100E+8	2.000000E+1	2.048000E+1	1.640000E+0
2.420000E+1	4.343180E-11	-1.209180E+9	2.000000E+1	2.050000E+1	1.630000E+0
2.440000E+1	8.445990E-12	-5.256800E+9	2.000000E+1	2.048000E+1	1.580000E+0
2.460000E+1	3.434730E-12	-3.306870E+9	2.000000E+1	2.048000E+1	1.730000E+0
2.480000E+1	3.291880E-12	-3.543610E+9	2.000000E+1	2.048000E+1	1.680000E+0
2.500000E+1	3.432720E-12	-3.396800E+9	2.000000E+1	2.048000E+1	1.680000E+0
2.520000E+1	3.520280E-12	-4.038130E+9	2.000000E+1	2.045000E+1	1.680000E+0
2.540000E+1	3.478590E-12	-3.344590E+9	2.000000E+1	2.048000E+1	1.630000E+0
2.560000E+1	3.393020E-12	-2.759470E+9	2.000000E+1	2.048000E+1	1.670000E+0
2.580000E+1	3.396130E-12	-2.192320E+9	2.000000E+1	2.048000E+1	1.670000E+0
2.600000E+1	3.282020E-12	-2.580770E+9	2.000000E+1	2.048000E+1	1.640000E+0
2.620000E+1	3.632310E-12	-2.708780E+9	2.000000E+1	2.048000E+1	1.700000E+0
2.640000E+1	3.484250E-12	-2.989520E+9	2.000000E+1	2.047000E+1	1.700000E+0
2.660000E+1	3.471630E-12	-3.120270E+9	2.000000E+1	2.047000E+1	1.660000E+0
2.680000E+1	3.424340E-12	-2.450810E+9	2.000000E+1	2.048000E+1	1.700000E+0
2.700000E+1	3.296000E-12	-2.289170E+9	2.000000E+1	2.050000E+1	1.680000E+0
2.720000E+1	3.294190E-12	-2.234520E+9	2.000000E+1	2.048000E+1	1.600000E+0
2.740000E+1	3.364730E-12	-2.710360E+9	2.000000E+1	2.048000E+1	1.700000E+0
2.760000E+1	3.464390E-12	-2.926290E+9	2.000000E+1	2.050000E+1	1.630000E+0
2.780000E+1	3.452260E-12	-3.174010E+9	2.000000E+1	2.050000E+1	1.680000E+0
2.800000E+1	3.468240E-12	-2.785030E+9	2.000000E+1	2.047000E+1	1.640000E+0
2.820000E+1	3.298170E-12	-2.544450E+9	2.000000E+1	2.048000E+1	1.700000E+0
2.840000E+1	3.204320E-12	-2.349880E+9	2.000000E+1	2.050000E+1	1.680000E+0
2.860000E+1	3.387240E-12	-3.082970E+9	2.000000E+1	2.048000E+1	1.630000E+0
2.880000E+1	3.466650E-12	-3.201890E+9	2.000000E+1	2.047000E+1	1.640000E+0
2.900000E+1	3.524890E-12	-2.588890E+9	2.000000E+1	2.048000E+1	1.640000E+0
2.920000E+1	3.473150E-12	-3.056310E+9	2.000000E+1	2.051000E+1	1.680000E+0
2.940000E+1	3.273030E-12	-2.242670E+9	2.000000E+1	2.051000E+1	1.640000E+0
2.960000E+1	3.285900E-12	-2.530450E+9	2.000000E+1	2.051000E+1	1.640000E+0
2.980000E+1	3.244220E-12	-2.334220E+9	2.000000E+1	2.051000E+1	1.630000E+0
3.000000E+1	3.582290E-12	-3.008480E+9	2.000000E+1	2.051000E+1	1.630000E+0
